1;Stripgrazen of korte omweide-systemen
3;Niet scheuren van blijvend grasland als onderdeel van bewustwordingsactiviteiten ter bevordering van waterbewust boeren.
4;Investeringen met betrekking tot drinkbakken midden in perceel om uitspoeling nutriënten te voorkomen
5;Pas in gestuwde delen zo nodig onderbemaling toe. Investeringen in pomp, met name in veenweidegebieden.
6;Water vasthouden in een kavelsloot door 1) Het plaatsen van een LOP-stuw 2) Het verhogen van een bestaande duiker 3) deze volledig te dempen 4) het verhogen van de slootbodem.
6;Water vasthouden in een kavelsloot door 1) Het plaatsen van een LOP-stuw 2) Het verhogen van een bestaande duiker 3) deze volledig te dempen 4) het verhogen van de slootbodem.
7;Investeringen mbt infiltratie via onderwaterdrainage (bv. veenweidegebied)
8;Investeringen in voorzieningen zodat drainagewater niet wegstroomt maar opnieuw benut wordt binnen eigen bedrijf of door omliggende bedrijven. 
9;Investeringen ten behoeve van opslag van hemelwater in een bassin, vijver en/of plas dat op eigen terrein ligt of in samenspraak met de betreffende grondeigenaar. 
10;Koppeling drainage met zuivering (bv.  ijzerzand voorziening)
10;Koppeling drainage met zuivering (bv.  ijzerzand voorziening)
11;Aanleg regelbare/ peilgestuurde drainage evt. in combinatie met klimaatadaptieve regelbare drainage
12;Investeringen in gerichte watergeefsystemen (bijv. druppelirrigatie)
14;Aanleg  droge bufferstroken ( breder dan wettelijk voorgeschreven / mest- en spuitvrij) langs water
15;Aanleg / beheer natuurvriendelijke oevers en/of waterbergingsoever
16;Aanleg / beheer natte bufferstroken
17;Aanleg / beheer helofytenfilters in nabijheid watergang
18;Aanleg infiltratiegreppel (afspoeling tegen gaan)
18;Aanleg infiltratiegreppel (afspoeling tegen gaan)
19;Zuivering van drainagewater (stikstof/fosfor, in sloot/slootkant/bodem) 
20;Investering in vaste rijpaden op perceel, aanschaf GIS/materieel.
21;Terrassen aanleggen / Bewerk grond haaks op de helling
22;Bemesting met organische mest vindt plaats als de bodemtemperatuur tenminste 8 graden C bedraagt.
23;Stel de organische bemesting uit tot vlak voor planten of zaaien / Uitrijdperiode dierlijke mest verkorten tot optimale groeiseizoen van geteelde gewas (gewasafhankelijk bemesten).
25;Dierlijke mest niet in het najaar, of kleine giften afgestemd op behoefte
26;Bepaal de stikstofwerkingscoëfficiënt van mest (op bedrijf, tijdens toedienen, doseren aanpassen,…)
27;Kies de geschikte soort organische mest: N/P-verhouding, mestsoort en bewerkte producten / Kies voor organische meststoffen met optimale C/N verhouding
29;Tijdens uitrijden van drijfmest wordt water toegevoegd.
30;Pas mestbewerking toe (mestscheiding, mengen, etc)
31;Beperk de dierlijke mestgift en bemest bij met kunstmest gedurende het groeiseizoen voor een hogere efficiëntie
33;Gewassen telen voor uitmijnen fosfaat
34;Pas minder uitspoelingsgevoelige N-meststoffen toe
35;Pas vloeibare N-meststoffen toe als bijbemesting: via blad / rijenbemesting, etc
36;Kunstmestgift afstemmen op mineralisatie 1) in voorjaar 2) in het najaar geen kunstmest na 15 aug. / Stem N-gift af op N-leverend vermogen vd bodem
37;Bemesting met kunstmest vindt plaats als de temperatuursom boven de 180 graden is
40;Grasbedekking in stand houden door maai- en/of graaslengte van 5 naar 7 cm te brengen. 
41;Verhogen gewasbedekking zomerperiode op weidepercelen, bijv. van 800 naar 1100 Kg Droge stof.
43;Optimale Ph- en Ca/Mg verhouding voor optimale productie gewas.
46;Plant mais in ruitverband
47;Breng drempels aan tussen ruggen in aardappelteelt
48;Gebruik baggerpomp op het juiste moment Hergebruik fosfor en stikstof uit slootbagger (kwaliteitsbaggeren)
49;Pas sleepslangbemesting toe
50;Toepassen niet kerende bodembewerking of Ondiep ploegen
51;Investering in apparatuur die insporing voorkomen door de juiste machines en stem bandenspanning af op bodembelastbaarheid.
53;Gebruik diepwortelende grassoorten
54;Gebruik diepwortelende rustgewassen
55;Teel vroegrijpe gewassen voor inzaai van een stikstofvanggewas/structuur
56;Egaliseer laagtes in percelen (natte delen opheffen)
57;Hergebruik gewasresten (stro, blad) op het bedrijf
58;Voeg compost of andere OS verhogende bronnen toe / Verhoog de aanvoer van verse organische stof
59;Pas groenbemesters/onderzaai toe
60;Hou het perceel lang bedekt / Voorkom braak liggen van grond (75% jaarrond groen)
63;Pas mengteelten toe
64;Maak greppels afsluitbaar 
65;Geen uitspoelingsgevoelige gewassen op uitspoelingsgevoelige gronden (grondwater)
66;Geen mais (maar gras) op natte gronden
68;Volvelds uitmijnen door negatief P-overschot
69;Randdam om perceel
